name,created,origin,type,status,targetReference,businessCriticality,lifecycle,environment,tags,repoName,testFrequency,lastTestedDate,browseUrl,issues_low,issues_high,issues_medium,issues_critical,pullRequestFailOnAnyVulns,pullRequestFailOnlyForHighSeverity,pullRequestFailOnlyForIssuesWithFix,pullRequestInheritance,pullRequestTestEnabled
cmbarker/example-project:package.json,2022-01-25T17:13:21.850Z,bitbucket-cloud,npm,active,main,[],[],[],[],cmbarker/example-project,daily,2022-02-11T08:21:36.745Z,https://app.snyk.io/org/angrydome/project/6699d080-0cf8-46ef-969c-2e35ddb82a4f,1,1,3,0,False,False,False,integration,False
cmbarker/goof-demo:Dockerfile,2022-01-25T17:01:28.127Z,bitbucket-cloud,dockerfile,active,main,[],[],[],[],cmbarker/goof-demo,daily,2022-02-11T08:23:13.708Z,https://app.snyk.io/org/angrydome/project/15e4f765-844c-4216-8876-dfb8dc369774,465,226,229,61,False,False,False,integration,False
cmbarker/goof-demo:package.json,2022-01-25T17:01:27.501Z,bitbucket-cloud,npm,active,main,[],[],[],[],cmbarker/goof-demo,daily,2022-02-11T08:21:30.306Z,https://app.snyk.io/org/angrydome/project/8c711c8b-42af-438d-8acf-565166941a23,5,39,38,3,False,False,False,integration,False
mrzarquon/docker-goof:v2,2022-01-20T11:12:25.903Z,docker-hub,deb,active,v2,[],[],[],[],mrzarquon/docker-goof,daily,2022-02-11T07:55:30.299Z,https://app.snyk.io/org/angrydome/project/67c0dbf0-43ef-4a24-8191-6f40d3b56fdc,39,2,1,3,,,,,
mrzarquon/docker-goof:latest,2022-01-20T10:44:12.142Z,docker-hub,deb,active,latest,[],[],[],[],mrzarquon/docker-goof,daily,2022-02-11T07:55:49.049Z,https://app.snyk.io/org/angrydome/project/8fae6f68-68ce-4dbc-bca6-455b1670fb0b,463,210,223,56,,,,,
mrzarquon/docker-goof:latest:/usr/src/goof/package.json,2022-01-20T10:44:11.980Z,docker-hub,npm,active,latest,[],[],[],[],mrzarquon/docker-goof,daily,2022-02-11T07:55:34.540Z,https://app.snyk.io/org/angrydome/project/2497c0c7-f9a9-438e-90e8-5c99eb4f2f7e,5,36,36,3,,,,,
mrzarquon/luigi:latest,2022-01-20T10:43:54.456Z,docker-hub,deb,active,latest,[],[],[],[],mrzarquon/luigi,daily,2022-02-11T07:55:28.270Z,https://app.snyk.io/org/angrydome/project/3f694660-b3e0-422d-ace0-aa2e40e77f04,81,36,19,15,,,,,
mrzarquon/luigi:v2,2022-01-20T10:43:20.419Z,docker-hub,deb,active,v2,[],[],[],[],mrzarquon/luigi,daily,2022-02-11T07:55:30.260Z,https://app.snyk.io/org/angrydome/project/5300687c-edd1-41aa-b880-104f516c010e,81,36,19,15,,,,,
snyk-sync-arch64,2021-12-10T12:28:54.426Z,cli,deb,active,docker-image|snyk-sync,[],[],[],[],snyk-sync,daily,2022-02-11T04:28:56.593Z,https://app.snyk.io/org/angrydome/project/afb35eaf-7a94-4389-a404-17cbc855df29,41,8,1,8,,,,,
docker-image|snyk-sync,2021-12-10T12:27:05.250Z,cli,deb,active,docker-image|snyk-sync,[],[],[],[],snyk-sync,daily,2022-02-11T04:28:56.430Z,https://app.snyk.io/org/angrydome/project/70a9396b-bd64-4332-9f2b-4759f568c971,41,8,1,8,,,,,
